model,mode,fold,img1,img2,similarity,label
deepface,FF,01,cfp-dataset\Data\Images\001\frontal\04.jpg,cfp-dataset\Data\Images\001\frontal\07.jpg,0.755946,1
deepface,FF,01,cfp-dataset\Data\Images\001\frontal\01.jpg,cfp-dataset\Data\Images\001\frontal\04.jpg,0.796156,1
deepface,FF,01,cfp-dataset\Data\Images\001\frontal\03.jpg,cfp-dataset\Data\Images\001\frontal\01.jpg,0.891312,1
deepface,FF,01,cfp-dataset\Data\Images\001\frontal\04.jpg,cfp-dataset\Data\Images\001\frontal\02.jpg,0.738061,1
deepface,FF,01,cfp-dataset\Data\Images\001\frontal\04.jpg,cfp-dataset\Data\Images\001\frontal\01.jpg,0.796156,1
deepface,FF,01,cfp-dataset\Data\Images\001\frontal\02.jpg,cfp-dataset\Data\Images\001\frontal\10.jpg,0.826511,1
deepface,FF,01,cfp-dataset\Data\Images\001\frontal\08.jpg,cfp-dataset\Data\Images\001\frontal\10.jpg,0.825836,1
deepface,FF,01,cfp-dataset\Data\Images\002\frontal\07.jpg,cfp-dataset\Data\Images\002\frontal\04.jpg,0.877351,1
deepface,FF,01,cfp-dataset\Data\Images\002\frontal\01.jpg,cfp-dataset\Data\Images\002\frontal\06.jpg,0.691730,1
deepface,FF,01,cfp-dataset\Data\Images\002\frontal\06.jpg,cfp-dataset\Data\Images\002\frontal\04.jpg,0.713941,1
deepface,FF,01,cfp-dataset\Data\Images\002\frontal\03.jpg,cfp-dataset\Data\Images\002\frontal\09.jpg,0.883984,1
deepface,FF,01,cfp-dataset\Data\Images\002\frontal\03.jpg,cfp-dataset\Data\Images\002\frontal\04.jpg,0.880806,1
deepface,FF,01,cfp-dataset\Data\Images\002\frontal\04.jpg,cfp-dataset\Data\Images\002\frontal\10.jpg,0.607370,1
deepface,FF,01,cfp-dataset\Data\Images\002\frontal\08.jpg,cfp-dataset\Data\Images\002\frontal\04.jpg,0.741539,1
deepface,FF,01,cfp-dataset\Data\Images\003\frontal\07.jpg,cfp-dataset\Data\Images\003\frontal\03.jpg,0.637190,1
deepface,FF,01,cfp-dataset\Data\Images\003\frontal\03.jpg,cfp-dataset\Data\Images\003\frontal\10.jpg,0.564295,1
deepface,FF,01,cfp-dataset\Data\Images\003\frontal\07.jpg,cfp-dataset\Data\Images\003\frontal\08.jpg,0.743375,1
deepface,FF,01,cfp-dataset\Data\Images\003\frontal\03.jpg,cfp-dataset\Data\Images\003\frontal\01.jpg,0.547226,1
deepface,FF,01,cfp-dataset\Data\Images\003\frontal\02.jpg,cfp-dataset\Data\Images\003\frontal\08.jpg,0.869686,1
deepface,FF,01,cfp-dataset\Data\Images\003\frontal\10.jpg,cfp-dataset\Data\Images\003\frontal\01.jpg,0.600702,1
deepface,FF,01,cfp-dataset\Data\Images\003\frontal\08.jpg,cfp-dataset\Data\Images\003\frontal\05.jpg,0.759439,1
deepface,FF,01,cfp-dataset\Data\Images\004\frontal\08.jpg,cfp-dataset\Data\Images\004\frontal\06.jpg,0.672177,1
deepface,FF,01,cfp-dataset\Data\Images\004\frontal\02.jpg,cfp-dataset\Data\Images\004\frontal\09.jpg,0.716704,1
deepface,FF,01,cfp-dataset\Data\Images\004\frontal\06.jpg,cfp-dataset\Data\Images\004\frontal\03.jpg,0.595891,1
deepface,FF,01,cfp-dataset\Data\Images\004\frontal\02.jpg,cfp-dataset\Data\Images\004\frontal\06.jpg,0.558299,1
deepface,FF,01,cfp-dataset\Data\Images\004\frontal\07.jpg,cfp-dataset\Data\Images\004\frontal\09.jpg,0.641589,1
deepface,FF,01,cfp-dataset\Data\Images\004\frontal\10.jpg,cfp-dataset\Data\Images\004\frontal\08.jpg,0.880660,1
deepface,FF,01,cfp-dataset\Data\Images\004\frontal\06.jpg,cfp-dataset\Data\Images\004\frontal\07.jpg,0.624941,1
deepface,FF,01,cfp-dataset\Data\Images\005\frontal\04.jpg,cfp-dataset\Data\Images\005\frontal\01.jpg,0.846961,1
deepface,FF,01,cfp-dataset\Data\Images\005\frontal\02.jpg,cfp-dataset\Data\Images\005\frontal\05.jpg,0.747545,1
deepface,FF,01,cfp-dataset\Data\Images\005\frontal\05.jpg,cfp-dataset\Data\Images\005\frontal\10.jpg,0.873336,1
deepface,FF,01,cfp-dataset\Data\Images\005\frontal\02.jpg,cfp-dataset\Data\Images\005\frontal\06.jpg,0.767446,1
deepface,FF,01,cfp-dataset\Data\Images\005\frontal\07.jpg,cfp-dataset\Data\Images\005\frontal\10.jpg,0.613506,1
deepface,FF,01,cfp-dataset\Data\Images\005\frontal\09.jpg,cfp-dataset\Data\Images\005\frontal\01.jpg,0.746195,1
